Tested.Agent.s.,Combined.Agent.s.,Control.Arm,Treatment.Setting,Tumour.Type,Tumour.Sub.type,Tumour.Sub.group,Tumour.Stage,Score,Ref.,Score.card,V1,V2,V3,Control Arm,DFS Control,DFS Gain,DFS HR,Final curative score,Form(s),Primary Outcome(s),Treatment Setting,Trial Name,Tumour stage,Tumour Sub-Group,Tumour Sub-type,Tumour Type,Combined Agent(s),pCR Gain,PFS HR,Final non-curative Score,OS Control,OS Gain,OS HR,PFS Control,PFS Gain,Preliminary non-curative score,QoL adjustment,QoL Comment,Last update,Toxicity adjustment,Toxicity Comment,Long-term plateau in the survival curve,Evaluated Outcome,V4,Comment,Long-term plateau in the PFS curve,QoL or Toxicity non-inferiority or superiority in PFS/OS,Release date,ORR,Issue date,DoR,RR Gain,Improvement in some symptoms BUT without evidence of improved overall QoL,RFS Control,RFS Gain,RFS HR,OS advantage continues to be observed
Pemetrexed,Cisplatin,Cisplatin + gemcitabine,1st line stage III or IV (non-squamous),Thoracic Malignancies,Non-small-cell Lung Cancer,-,Metastatic,4,NA,NA,http://ascopubs.org/doi/abs/10.1200/JCO.2007.15.0375?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,NA,NA,Cisplatin + gemcitabine,NA,NA,NA,NA,Form 2a,OS (non-inferiority),1st line stage III or IV (non-squamous),NA,            Metastatic    ,NA,Non-small-cell Lung Cancer,Thoracic Malignancies,Cisplatin,NA,NA,4,10.4 months,1.4 months,0.81 (0.70-0.94),NA,NA,3,NA,NA,NA,1+,Less grade 3+ toxicity: neutropenia anaemia thrombocytopenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palliative care,Chemotherapy,Chemotherapy,1st line treatment stage IV NSCLC ECOG<2,Thoracic Malignancies,Non-small-cell Lung Cancer,-,Metastatic,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1000678?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Chemotherapy ,NA,NA,NA,NA,Form 2c,QoL,1st line treatment stage IV NSCLC ECOG<2,NA,            Metastatic    ,NA,Non-small-cell Lung Cancer,Thoracic Malignancies,Chemotherapy,NA,NA,4,8.9 months,2.7 months,HR for death in control arm 1.7 (1.14-2.54),NA,NA,4,NA,Improved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pembrolizumab,-,Platinum-based chemotherapy,1st line metastatic and advanced NSCLC with PD-L1>50%,Thoracic Malignancies,Non-small-cell Lung Cancer,-,Metastatic and advanced,5,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1606774?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,https://www.sciencedirect.com/science/article/abs/pii/S1470204517306903,https://ascopubs.org/doi/10.1200/JCO.18.00149?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,Platinum-based chemotherapy,NA,NA,NA,NA,Form 2a,PFS,1st line metastatic and advanced NSCLC with PD-L1>50%,KEYNOTE-24,            Metastatic and advanced    ,NA,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,0.50 (0.37-0.68),5,14.2 months,15.8 months,0.63 (0.47-0.86),6 months,4.3 months,4,NA,NA,15.09.2020,1+,Improved toxicity profile,NA,OS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bevacizumab,Erlotinib,Erlotinib,1st line therapy,Thoracic Malignancies,Non-small-cell Lung Cancer,EGFR+,Advanced,3,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(14)70381-X/fulltext,NA,NA,Erlotinib ,NA,NA,NA,NA,Form 2b,PFS (Phase II study),1st line therapy ,NA,            Advanced    ,EGFR+,Non-small-cell Lung Cancer,Thoracic Malignancies,Erlotinib,NA,0.54 (0.36-0.79),3,NA,NA,NA,9.7 months,6.3 months,3,NA,No improvement in QoL,NA,NA,Deteriorated toxicity profile not reaching the toxicity thresholds for penalty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afatinib,-,Erlotinib,2nd line treatment of patients with advanced SCC who had progressed on platinum-based doublet chemotherapy,Thoracic Malignancies,Non-small-cell Lung Cancer,Squamous cell,Metastatic,2,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(15)00006-6/fulltext,https://www.clinical-lung-cancer.com/article/S1525-7304(17)30175-4/fulltext,NA,Erlotinib,NA,NA,NA,NA,Form 2a,OS,2nd line treatment of patients with advanced SCC who had progressed on platinum-based doublet chemotherapy,LUX - Lung 8,            Metastatic    ,Squamous cell,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,NA,2,6.8 months,1.1 month,0.81 (0.69-0.95),NA,NA,1,1+,Improved,06.11.2019 - 2018 article added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bevacizumab,Paclitaxel + carboplatin,Paclitaxel + carboplatin,"1st line stage III or IV, non-squamous",Thoracic Malignancies,Non-small-cell Lung Cancer,-,Metastatic,2,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa061884?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Paclitaxel + carboplatin,NA,NA,NA,NA,Form 2a,OS,"1st line stage III or IV, non-squamous",NA,            Metastatic    ,NA,Non-small-cell Lung Cancer,Thoracic Malignancies,Paclitaxel + carboplatin,NA,NA,2,10.3 months,2 months,0.79 (0.67-0.92),NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ramucirumab,Docetaxel,Docetaxel + placebo,2nd line after platinum-based therapy NSCLC,Thoracic Malignancies,Non-small-cell Lung Cancer,-,Metastatic,1,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(14)60845-X/fulltext,NA,NA,Docetaxel + placebo,NA,NA,NA,NA,Form 2a,OS,2nd line after platinum-based therapy NSCLC,REVEL,            Metastatic    ,NA,Non-small-cell Lung Cancer,Thoracic Malignancies,Docetaxel,NA,NA,1,9.1 months,1.4 months,0.86 (0.75-0.98),NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Necitumumab,Gemcitabine + cisplatin,Gemcitabine + cisplatin,1st line treatment of patients with stage IV metastatic squamous NSCLC,Thoracic Malignancies,Non-small-cell Lung Cancer,Squamous cell,Metastatic,1,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(15)00021-2/fulltext,NA,NA,Gemcitabine + cisplatin,NA,NA,NA,NA,Form 2a,OS,1st line treatment of patients with stage IV metastatic squamous NSCLC ,SQUIRE,            Metastatic    ,Squamous cell,Non-small-cell Lung Cancer,Thoracic Malignancies,Gemcitabine + cisplatin,NA,NA,1,9.9 months,1.6 months,0.84 (0.74-0.96),NA,NA,1,NA,NA,NA,NA,Deteriorated toxicity profile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erlotinib,-,Placebo,Stage III or IV disease maintenance after responding to 4-6 cycles platinum doublet,Thoracic Malignancies,Non-small-cell Lung Cancer,-,Metastatic,1,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(10)70112-1/fulltext,NA,NA,Placebo,NA,NA,NA,NA,Form 2a,PFS,Stage III or IV disease maintenance after responding to 4-6 cycles platinum doublet,SATURN,            Metastatic    ,NA,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,0.71 (0.62-0.82),1,11 months,1 month ,0.81 (0.70-0.95),11.1 weeks,1.2 weeks,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Imiquimod 5% cream,-,Placebo,Superficial Basal Cell Carcinoma in adults with normal immune system when surgical methods are less appropriate,Skin Cancers,Non-melanoma skin cancer,-,Early,C,NA,NA,https://www.jaad.org/article/S0190-9622(03)04597-3/fulltext,NA,NA,Placebo,NA,NA,NA,C,Form 1,pCR (histologic clearance rates),Superficial Basal Cell Carcinoma in adults with normal immune system when surgical methods are less appropriate,NA,            Early    ,NA,Non-melanoma skin cancer,Skin Cancers,NA,3% vs 79% (5 days) -82% (7 days),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ipilimumab,-,Placebo,Adjuvant stage III melanoma,Skin Cancers,Melanoma,-,Adjuvant,A,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1611299?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(17)30015-3/fulltext,NA,Placebo,NA,NA,NA,A,Form 1,5-years DFS,Adjuvant stage III melanoma,EORTC 18071,            Adjuvant    ,NA,Melanoma,Skin Cancers,NA,NA,NA,NA,54.40 %,11 %,0.76 (0.64-0.89),NA,NA,NA,NA,No QoL benefit,22.07.2020,NA,NA,NA,DFS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nivolumab,Ipilimumab,Ipilimumab,1st line advanced or metastatic melanoma,Skin Cancers,Melanoma,-,Advanced,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1709684?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub3dwww.ncbi.nlm.nih.gov,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(18)30700-9/fulltext,https://www.nejm.org/doi/full/10.1056/NEJMoa1910836,Ipilimumab,NA,NA,NA,NA,Form 2a,PFS and OS ,1st line advanced or metastatic melanoma,CheckMate 067,            Advanced    ,NA,Melanoma,Skin Cancers,Ipilimumab,NA,0.42 (0.35-0.51),4,19.9 months  - 5-years 26%,18.4 months*  - 5-years 26% (with plateau),0.52 (0.42-0.64),2.9 months,8.6 months,4,NA,No QoL benefit,21.07.2020,NA,Higher toxicity and discontinuation rate,NA,OS,https://www.ejcancer.com/article/S0959-8049(17)30995-4/fulltext,*Calculated estimate of gain based on PE HR 0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nivolumab,-,Ipilimumab,1st line advanced or metastatic melanoma,Skin Cancers,Melanoma,-,Advanced,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1709684?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub3dwww.ncbi.nlm.nih.gov,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(18)30700-9/fulltext,https://www.nejm.org/doi/full/10.1056/NEJMoa1910836,Ipilimumab,NA,NA,NA,NA,Form 2a,PFS and OS ,1st line advanced or metastatic melanoma,CheckMate 067,            Advanced    ,NA,Melanoma,Skin Cancers,NA,NA,0.53 (0.44-0.64),4,19.9 months  - 5-years 26%,17.0 months -  5-years 18% (with plateau),0.63 (0.52-0.76),2.9 months,4 months,4,NA,No QoL benefit,22.07.2020,NA,NA,NA,OS,https://www.ejcancer.com/article/S0959-8049(17)30995-4/fulltext,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ipilimumab,Glycoprotein 100 (GP100),Glycoprotein 100 (GP100),Previously treated metastatic,Skin Cancers,Melanoma,HLA-A*0201,Metastatic,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1003466?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Glycoprotein 100 (GP100),NA,NA,NA,NA,Form 2a,OS,Previously treated metastatic,NA,            Metastatic    ,HLA-A*0201,Melanoma,Skin Cancers,Glycoprotein 100 (GP100),NA,NA,4,6.4 months,3.6 months,0.68 (0.55-0.85),NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ipilimumab,-,Glycoprotein 100 (GP100),Previously treated metastatic,Skin Cancers,Melanoma,HLA-A*0201,Metastatic,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1003466?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Glycoprotein 100 (GP100),NA,NA,NA,NA,Form 2a,OS,Previously treated metastatic,NA,            Metastatic    ,HLA-A*0201,Melanoma,Skin Cancers,NA,NA,NA,4,6.4 months,3.7 months,0.66 (0.51-0.87),NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vemurafenib,-,Dacarbazine,1st line or 2nd line after interleukin-2 metastatic melanoma with BRAF V600E and V600K mutations,Skin Cancers,Melanoma,BRAF+,Metastatic,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1103782?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(14)70012-9/fulltext,NA,Dacarbazine,NA,NA,NA,NA,Form 2a,PFS and OS              V600E,1st line or 2nd line after interleukin-2 metastatic melanoma with BRAF V600E and V600K mutations,BRIM-3,            Metastatic    ,BRAF+,Melanoma,Skin Cancers,NA,NA,0.39 (0.33-0.47),4,10 months,3.3 months,0.75 (0.60-0.93),1.6 months,5.3 months,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vemurafenib,-,Dacarbazine,1st line or 2nd line after interleukin-2 metastatic melanoma with BRAF V600E and V600K mutations,Skin Cancers,Melanoma,BRAF+,Metastatic,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1103782?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(14)70012-9/fulltext,NA,Dacarbazine,NA,NA,NA,NA,Form 2a,PFS and OS               V600K,1st line or 2nd line after interleukin-2 metastatic melanoma with BRAF V600E and V600K mutations,BRIM-3,            Metastatic    ,BRAF+,Melanoma,Skin Cancers,NA,NA,0.30 (0.16-0.56),4,7.6 months,6.9 months,0.43 (0.21-0.90),1.7 months,4.2 months,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trametinib,-,Dacarbazine or paclitaxel,Unresectable or metastatic melanoma with BRAF V600E/K mutation,Skin Cancers,Melanoma,BRAF+,Metastatic,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1203421?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200www.ncbi.nlm.nih.gov,https://www.annalsofoncology.org/article/S0923-7534(19)34272-3/fulltext,https://onlinelibrary.wiley.com/doi/full/10.1002/cam4.643,Dacarbazine or paclitaxel ,NA,NA,NA,NA,Form 2b,PFS (crossover allowed),Unresectable or metastatic melanoma with BRAF V600E/K mutation,METRIC,            Metastatic    ,BRAF+,Melanoma,Skin Cancers,NA,NA,0.45 (0.33-0.63),4,NA,NA,Not significant ,1.5 months,3.3 months,3,1+,Improved,23.07.2020,NA,NA,NA,PFS,https://www.ejcancer.com/article/S0959-8049(18)31561-2/fulltext,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trametinib,Dabrafenib,Dabrafenib,1st line unresectable or metastatic melanoma with the BRAF V600E mutation,Skin Cancers,Melanoma,BRAF+,Metastatic,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1210093?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Dabrafenib,NA,NA,NA,NA,Form 2b,PFS,1st line unresectable or metastatic melanoma with the BRAF V600E mutation,NA,            Metastatic    ,BRAF+,Melanoma,Skin Cancers,Dabrafenib,NA,0.39 (0.25-0.62),4,NA,NA,NA,5.8 months,3.6 months,3,1+,12% reduction skin cancer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dabrafenib,-,Dacarbazine,1st line unresectable or metastatic melanoma with the BRAF V600E mutation,Skin Cancers,Melanoma,BRAF+,Metastatic,4,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(12)60868-X/fulltext,https://academic.oup.com/annonc/article/25/7/1428/2801216,NA,Dacarbazine,NA,NA,NA,NA,Form 2b,PFS (crossover allowed),1st line unresectable or metastatic melanoma with the BRAF V600E mutation,BREAK-3,            Metastatic    ,BRAF+,Melanoma,Skin Cancers,NA,NA,0.35 (0.20-0.61),4,NA,NA,NA,2.9 months,3.8 months,3,1+,Improved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trametinib,Dabrafenib,Vemurafenib,1st line unresectable or metastatic melanoma with the BRAF V600E mutation,Skin Cancers,Melanoma,BRAF+,Metastatic,5,NA,NA,https://www.nejm.org/doi/full/10.1056/nejmoa1412690,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(15)00087-X/fulltext,https://www.nejm.org/doi/full/10.1056/NEJMoa1904059,Vemurafenib ,NA,NA,NA,NA,Form 2a,OS,1st line unresectable or metastatic melanoma with the BRAF V600E mutation,COMBI-v,            Metastatic    ,BRAF+,Melanoma,Skin Cancers,Dabrafenib,NA,0.56 (0.46-0.69),5,18.0 months*    3-years survival 31%,8.0 months *      3-years survival 13%,0.69 (0.53-0.89) Interim OS (p=0.005<0.02),7.3 months,4.1 months,4,NA,17% reduction skin cancer,23.07.2020,1+,Improved QoL (exploratory outcome) **,NA,OS,NA,* Estimated from Kaplan-Meier plot. ** QoL evaluated as an exploratory endpoint  (as distinct from primary or secondary endpoint) is not eligible for ESMO-MCBS grading.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cobimetinib,Vemurafenib,Vemurafenib + placebo,1st line unresectable or metastatic melanoma with the BRAF V600E mutation,Skin Cancers,Melanoma,BRAF+,Metastatic,4,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(16)30122-X/fulltext,https://translational-medicine.biomedcentral.com/articles/10.1186/s12967-017-1246-0,https://www.annalsofoncology.org/article/S0923-7534(19)32016-2/abstract,Vemurafenib + placebo,NA,NA,NA,NA,Form 2a,PFS,1st line unresectable or metastatic melanoma with the BRAF V600E mutation,coBRIM,            Metastatic    ,BRAF+,Melanoma,Skin Cancers,Vemurafenib,NA,0.58 (0.46-0.72),4,17.4 months,4.9 months,0.70 (0.55-0.90),7.2 months,5.1 months,3,1+,9% reduction skin cancer,22.07.2020,NA,2.8% increase Grade 3+ retinopathy,NA,OS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nivolumab,-,Dacarbazine,1st line unresectable or metastatic BRAF-V600-WT,Skin Cancers,Melanoma,-,Metastatic,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1412082?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Dacarbazine,NA,NA,NA,NA,Form 2a,OS,1st line unresectable or metastatic BRAF-V600-WT,CheckMate 066,            Metastatic    ,NA,Melanoma,Skin Cancers,NA,NA,0.43 (0.34-0.56),4,10.8 months,6+ months,0.42 (0.25-0.73),2.2 months,2.9 months,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ipilimumab,Dacarbazine,Dacarbazine + placebo,1st line metastatic,Skin Cancers,Melanoma,-,Metastatic,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1104621?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,https://                                    http://ascopubs.org/doi/abs/10.1200/JCO.2014.56.6018?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,NA,Dacarbazine + placebo,NA,NA,NA,A,Form 1/Form 2a,OS ,1st line metastatic,CA184-024,            Metastatic    ,NA,Melanoma,Skin Cancers,Dacarbazine,NA,NA,4,11.2 months       ,2.1 months                                               11.1% at 2 years                 9.4% at 5 years,0.69 (0.57-0.84),NA,NA,4,NA,NA,NA,NA,NA,Yes ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pembrolizumab,-,Investigator-choice chemotherapy (Randomised phase II study),2nd line metastatic after failure of ipilimumab BRAF or MEK inhibitor,Skin Cancers,Melanoma,-,Metastatic,3,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(15)00083-2/fulltext,NA,NA,Investigator-choice chemotherapy (Randomised phase II study),NA,NA,NA,NA,Form 2b,PFS       2 mg/kg,2nd line metastatic after failure of ipilimumab BRAF or MEK inhibitor,KEYNOTE-002,            Metastatic    ,NA,Melanoma,Skin Cancers,NA,NA,0.57 (0.45-0.73) plateau PFS gain >10% at 1 year,3,NA,NA,NA,2.7 months,0.2 months ,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pembrolizumab,-,Investigator-choice chemotherapy (Randomised phase II study),2nd line metastatic after failure of ipilumumab BRAF or MEK inhibitor,Skin Cancers,Melanoma,BRAF+,Metastatic,3,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(15)00083-2/fulltext,NA,NA,Investigator-choice chemotherapy (Randomised phase II study),NA,NA,NA,NA,Form 2b,PFS    10 mg/kg,2nd line metastatic after failure of ipilumumab BRAF or MEK inhibitor,KEYNOTE-002,            Metastatic    ,BRAF+,Melanoma,Skin Cancers,NA,NA,0.50 (0.39-0.64) plateau with >10% gain at 1 year,3,NA,NA,NA,2.7 months,0.2 months ,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Everolimus,-,Placebo,"Progressive, well differentiated, non-functional neuroendocrine tumours of gastrointestinal or lung origin with unresectable, locally advanced or metastatic disease",Endocrine Tumours,Neuroendocrine Tumour,Gastrointestinal or lung,Metastatic,3,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00817-X/fulltext,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(17)30471-0/fulltext,NA,Placebo,NA,NA,NA,NA,Form 2b,PFS,"Progressive, well differentiated, non-functional neuroendocrine tumours of gastrointestinal or lung origin with unresectable, locally advanced or metastatic disease",RADIANT 4 ,            Metastatic    ,Gastrointestinal or lung ,Neuroendocrine Tumour,Endocrine Tumours,NA,NA,0.48 (0.35-0.67),3,NA,2.4 months (not statistically significant),Not statistically significant ,3.9 months,7.1 months,3,NA,No benefit,20.04.2020,NA,Moderate toxicity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vandetanib,-,Placebo,Unresectable locally advanced or metastatic hereditary or sporadic medullary thyroid cancer 1st or 2nd line,Endocrine Tumours,Thyroid Cancer,Medullary,Metastatic,3,NA,NA,http://ascopubs.org/doi/abs/10.1200/JCO.2011.35.5040?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,NA,NA,Placebo,NA,NA,NA,NA,Form 2b,PFS,Unresectable locally advanced or metastatic hereditary or sporadic medullary thyroid cancer 1st or 2nd line ,NA,            Metastatic    ,Medullary,Thyroid Cancer,Endocrine Tumours,NA,NA,0.46 (0.31-0.69),3,NA,NA,NA,19.3 months,11.2 months,3,NA,NA,NA,NA,Deteriorated toxicity profile. Patients receiving vandetanib experienced a statistically significant delay in time to worsening of pain compared with those receiving placebo        ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabozantinib,-,Placebo,"Progressive, unresectable locally advanced or metastatic medullary thyroid carcinoma 1st or 2nd line",Endocrine Tumours,Thyroid Cancer,"TKI targeting RET, MET, VEGFR2",Metastatic,3,NA,NA,http://ascopubs.org/doi/abs/10.1200/JCO.2012.48.4659?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,NA,NA,Placebo,NA,NA,NA,NA,Form 2b,PFS,"Progressive, unresectable locally advanced or metastatic medullary thyroid carcinoma 1st or 2nd line",NA,            Metastatic    ,"TKI targeting RET, MET, VEGFR2",Thyroid Cancer,Endocrine Tumours,NA,NA,0.28 (0.19-0.40),3,NA,NA,Interim analysis NS,4 months,7.2 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dinutuximab,Cis retinoic acid+GMCSF+IL2,Cis retinoic acid,<32 years old with high-risk neuroblastoma after remission and stem cell transplatation,Central Nervous System Malignancies,Neuro-oncology cancer,Neuroblastoma,Early,A,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa0911123?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,https://link.springer.com/article/10.1007%2Fs11523-016-0420-2,NA,Cis retinoic acid ,NA,NA,NA,A,Form 1,EFS,<32 years old with high-risk neuroblastoma after remission and stem cell transplatation,NA,            Early    ,Neuroblastoma,Neuro-oncology cancer,Central Nervous System Malignancies,Cis retinoic acid+GMCSF+IL2,NA,NA,NA,5-year survival 57%,Gain 17%,0.58 (0.37-0.91),2 years 45%,Gain 20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Radium-223,Best standard of care,Best standard of care + placebo,"Late line and bone pain, castration-refractory, late line and bone pain",Genitourinary Cancers,Prostate cancer,-,Metastatic,5,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1213755?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Best standard of care + placebo,NA,NA,NA,NA,Form 2a,OS,"Late line and bone pain, castration-refractory, late line and bone pain",ALSYMPCA,            Metastatic    ,NA,Prostate cancer,Genitourinary Cancers,Best standard of care,NA,NA,5,11.3 months,3.6 months,0.70 (0.55-0.83),NA,NA,4,1+,Improved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
